date,close,high,low,open,volume,sma_20,sma_50,ema_20,ema_50,momentum_5,volatility_10,rsi_14,macd_0,macd_1,lag_1,lag_2,return_lag,interest_rate,unemployment,inflation
2015-01-02,24.21489906311035,24.682231459955254,23.776359040886113,24.671156559828262,212818400,,,24.21489906311035,24.21489906311035,,,,0.0,0.0,,,,0.11,5.7,234.747
2015-01-05,23.532726287841797,24.064289384302135,23.346680133466553,23.98455483534346,257142000,,,23.856758356094364,23.86699094772339,,,,-0.015305158419486986,-0.00850286578860388,24.21489906311035,,,0.11,5.7,234.747
2015-01-06,23.534934997558594,23.794071364016485,23.173914310644687,23.59695036493737,263188400,,,23.738586748172402,23.75184929642641,,,,-0.019433317742755918,-0.012982559212436682,23.532726287841797,24.21489906311035,-0.028171613414147756,0.11,5.7,234.747
2015-01-07,23.86494255065918,23.964609848271913,23.63238326984046,23.743125462650944,160423600,,,23.775063714719472,23.78184116621296,,,,-0.00891982723919682,-0.011606294993859493,23.534934997558594,23.532726287841797,9.385694159624869e-05,0.11,5.7,234.747
2015-01-08,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000,,,24.018607096832245,23.998165704584448,,,,0.03346839083632602,0.0018024049794227262,23.86494255065918,23.534934997558594,0.014022029512077205,0.11,5.7,234.747
2015-01-09,24.808467864990234,25.083108045057088,24.409795273125567,24.954646688812712,214798000,,,24.1852316401251,24.14707364685207,0.024512544955602955,,,0.05945673028643128,0.017429932656099083,24.781892776489258,23.86494255065918,0.03842247782007546,0.11,5.7,234.747
2015-01-12,24.197175979614258,24.945792806630894,24.09750865378446,24.939148543547873,198603200,,,24.187490019078474,24.15511803482535,0.028235134495051994,,,0.047406631555031,0.02501623544186237,24.808467864990234,24.781892776489258,0.0010723591107693053,0.11,5.7,234.747
2015-01-13,24.41201400756836,24.983444239302276,24.121869946634853,24.680009963584943,268367600,,,24.226300118674846,24.191901589917,0.03726710994106197,,,0.04878209027065594,0.03072761727422058,24.197175979614258,24.808467864990234,-0.024640452957541692,0.11,5.7,234.747
2015-01-14,24.318986892700195,24.471809973965815,24.03105650747729,24.150658281810262,195826400,,,24.241167530444738,24.208384537452783,0.019025578673705024,,,0.04437691546162981,0.03388067287002959,24.41201400756836,24.197175979614258,0.008878640554381256,0.11,5.7,234.747
2015-01-15,23.65896987915039,24.376579054271453,23.623533244347932,24.363290527444573,240056000,,,24.153493608805913,24.143038325274418,-0.04531223290596231,0.4731868040977454,,0.006609325467490379,0.027770307952316685,24.318986892700195,24.41201400756836,-0.0038107103674167586,0.11,5.7,234.747
2015-01-16,23.47513198852539,23.827293076803485,23.300159102999938,23.705475976187053,314053200,,,24.056696272844455,24.0694644361148,-0.0537451923158242,0.5148646912288893,,-0.030568893441685674,0.015006024033776435,23.65896987915039,24.318986892700195,-0.027139988045633667,0.11,5.7,234.747
2015-01-20,24.07978630065918,24.13515740540139,23.588090620181628,23.88487893049971,199599600,,,24.059841784726128,24.07052613421184,-0.004851379311948567,0.4807207418911881,,-0.02419597468751533,0.006587078776788867,23.47513198852539,23.65896987915039,-0.007770325232418829,0.11,5.7,234.747
2015-01-21,24.263620376586914,24.598060654669688,23.98011888215598,24.13072836459436,194303600,,,24.08650907255281,24.089199221905986,-0.006078713167026684,0.4365171920549368,,-0.008764225489606758,0.003338209443030112,24.07978630065918,23.47513198852539,0.025757227368491176,0.11,5.7,234.747
2015-01-22,24.894847869873047,24.910351710886655,24.301269587107605,24.42087137055198,215185600,,,24.1886525872214,24.162873637784507,0.02367948055211566,0.47235093056585065,56.61346175037855,0.03948400192843238,0.01089993619992123,24.263620376586914,24.07978630065918,0.007634373230409608,0.11,5.7,234.747
2015-01-23,25.0233154296875,25.193857723073517,24.702161943737746,24.872705926916115,185859200,,,24.290938892163982,24.23765289680985,0.05766715784779142,0.5053538718983814,57.67128043088023,0.08299010822834774,0.025843759650314994,24.894847869873047,24.263620376586914,0.026015387789994904,0.11,5.7,234.747
2015-01-26,25.049888610839844,25.32895946484357,24.983444295938444,25.191638510380002,222460000,,,24.381474186399526,24.30502932638208,0.06708190706165973,0.5364511979391353,66.44260313344424,0.11657083235656529,0.04451471485984178,25.0233154296875,24.894847869873047,0.005160407506242359,0.11,5.7,234.747
2015-01-27,24.17281150817871,24.912570412240157,24.148448084734664,24.89928019685748,382274800,,,24.357167395844982,24.2945212026084,0.0038632073540032508,0.5372134836352049,55.811156316388136,0.08645665797996926,0.05309634460651399,25.049888610839844,25.0233154296875,0.0010619368655209183,0.11,5.7,234.747
2015-01-28,25.539369583129883,26.161741992686807,25.539369583129883,26.05321340320937,585908400,,,24.49201473537622,24.389627589555754,0.05257868309603131,0.6595459903206312,62.83099801165878,0.14849400678922464,0.07252588859125475,24.17281150817871,25.049888610839844,-0.03501321368277843,0.11,5.7,234.747
2015-01-29,26.334497451782227,26.39872813532269,25.59473862220585,25.763067251836308,337745600,,,24.698293176541174,24.532888544303976,0.05782921789417306,0.8852072554238574,62.12383886910975,0.2453706412272716,0.10760031487247519,25.539369583129883,24.17281150817871,0.05653285611765946,0.11,5.7,234.747
2015-01-30,25.949111938476562,26.57812679485473,25.880450628531435,26.22375210888169,334982000,24.505369567871092,,24.83602807657223,24.633735210240136,0.036997355981482016,0.8967198117954589,58.43432457254783,0.29195598384390564,0.14490150207549857,26.334497451782227,25.539369583129883,0.031133417998601143,0.11,5.7,234.747
